FILE NAME;MIM - Aureo_20060101_121133.csv
PROTOCOL;MIM - Aureo
FILE_VERSION;3.3
DATE START;1.1.2006;12:11:05
DATE END;1.1.2006;12:11:05
DEVICE;BL165_CX-383610
USER;MIM SBT;COMMENT;no comment available
PLATETYPE;96 new;LOT;UNKOWN
MTP ROWS;8
MTP COLUMNS;12
FILTERSETS;3

FILTERSET;FILTERNAME;EX [nm];EM [nm];LAYOUT;FILTERNO;GAIN;PHASESTATISTICSSIGMA;SIGNALQUALITYTOLERANCE;REFERENCE VALUE;Process Parameters;;Calibration Parameters;;;;Criterion Parameters;;
1;Biomass           ;620;620;MIM - Aureo - 2;1;20;1;0;100;SET TEMPERATURE [C];30;Phi0;72,21;Biomass Slope;0;CRITERION;;
2;Biomass           ;620;620;MIM - Aureo - 2;1;30;1;0;100;SET HUMIDITY [%];85;Phi100;42,01;Biomass Offset;0;FI;;
3;Biomass           ;620;620;MIM - Aureo - 2;1;40;1;0;100;SET O2 [%];20,95;Phi,min;56,03;Biomass Unit;DCW [g/L];FJ;;
;;;;;;;;;;SET CO2 [%];0;Phi,max;11,11;;;FACTOR;0;
;;;;;;;;;;SET SHAKER FREQUENCY [rpm];1000;pH0;6,16;;;S0;NaN;
;;;;;;;;;;SET CYCLE TIME [min];10;dpH;0,53;;;EXTRA INFO;;
;;;;;;;;;;SET EXP TIME [h];1193;Temp. Compensation for pH Calibration;False;Temp. pH [C];28;;;
;;;;;;;;;;;;Temp. Compensation for pO2 Calibration;False;Temp. pO2 [C];28;;;

WELL No.;CONTENT;DESCRIPTION;CHANNEL;
;;;READING ->;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144
;;;TIME [h] ->;0,03184;0,18189;0,34846;0,51491;0,68186;0,84859;1,01529;1,18186;1,34854;1,5152;1,68203;1,84862;2,01523;2,18204;2,34871;2,51556;2,68217;2,84908;3,01567;3,18219;3,34912;3,51594;3,68222;3,8489;4,01576;4,18257;4,34921;4,51604;4,68253;4,8493;5,01623;5,18287;5,34939;5,5161;5,68309;5,84951;6,01607;6,18313;6,3496;6,51654;6,68288;6,84991;7,01639;7,18289;7,34983;7,51643;7,68317;7,84968;8,0163;8,18335;8,34987;8,51671;8,68337;8,8499;9,01692;9,18319;9,34983;9,51687;9,68345;9,85016;10,01708;10,18338;10,35037;10,5172;10,68392;10,85039;11,0173;11,18387;11,35013;11,51722;11,6839;11,85056;12,01709;12,18395;12,35057;12,51732;12,68432;12,85092;13,01721;13,18405;13,35109;13,51747;13,68435;13,85099;14,01783;14,18413;14,3512;14,51801;14,68482;14,85102;15,01814;15,18456;15,35121;15,51805;15,68478;15,85136;16,01814;16,1849;16,35142;16,51803;16,6849;16,8514;17,01815;17,185;17,35172;17,51831;17,68498;17,85174;18,01864;18,18535;18,35193;18,5182;18,68513;18,85195;19,01876;19,18541;19,35198;19,51896;19,68556;19,85209;20,01916;20,18551;20,35244;20,51885;20,68579;20,85216;21,01922;21,18573;21,35263;21,51907;21,68597;21,85266;22,01905;22,18599;22,35262;22,51927;22,68591;22,8525;23,01942;23,18622;23,35281;23,51957;23,68631;23,85286
B02;B1;;1;22,217;17,807;18,509;19,039;19,916;21,205;22,735;22,243;22,977;24,5;25,253;25,587;28,784;29,213;30,631;33,308;35,394;36,234;36,832;38,586;39,338;39,33;39,175;38,75;39,036;38,84;35,906;35,644;34,221;33,222;31,625;30,518;28,566;29,164;25,797;25,653;22,881;21,293;22,351;19,025;18,475;19,496;18,499;16,787;16,745;16,111;14,63;15,165;14,642;13,072;12,87;12,618;12,343;12,225;12,056;11,869;11,754;11,682;11,581;11,573;11,462;11,412;11,461;11,369;11,363;11,334;11,325;11,341;11,327;11,316;11,322;11,311;11,369;11,413;11,484;11,471;11,525;11,553;11,512;11,58;11,651;11,706;11,691;11,79;11,854;11,879;11,91;11,973;12,124;12,177;12,346;12,508;12,671;12,894;13,07;13,388;13,395;13,65;14,026;14,26;14,642;15,021;15,207;15,602;16,102;16,588;16,662;16,942;17,105;17,959;17,528;17,967;18,315;18,617;18,546;18,969;19,734;20,047;20,598;20,521;20,481;20,816;20,558;20,278;20,039;19,6;19,625;19,35;19,275;18,932;18,834;18,781;18,408;18,122;17,855;17,484;17,251;17,06;16,842;16,701;16,509;16,439;16,262;16,077
B03;B1;;1;26,09;25,556;27,488;28,19;28,784;29,001;29,789;32,24;34,822;37,276;39,955;36,343;38,648;37,865;37,14;35,737;38,034;38,607;37,89;39,897;39;38,885;38,452;37,949;38,047;37,006;35,986;35,14;34,19;33,625;32,303;31,379;30,115;28,818;28,642;25,228;25,266;23,81;23,058;23,877;20,996;21,116;20,135;20,213;18,899;18,377;18,16;17,978;17,181;16,854;16,476;15,744;15,403;15,147;14,778;14,255;13,764;13,476;13,081;12,741;12,318;12,188;11,713;11,529;11,612;11,392;11,325;11,303;11,236;11,126;11,13;11,136;11,157;11,215;11,236;11,23;11,304;11,335;11,338;11,377;11,445;11,447;11,525;11,574;11,665;11,757;11,814;11,92;12,051;12,286;12,326;12,518;12,805;12,848;13,178;13,31;13,529;13,758;14,065;14,495;15,013;15,161;15,194;15,822;15,726;16,594;16,1;16,219;16,759;17,395;17,283;17,39;17,592;18,073;18,295;18,438;19,235;19,576;20,032;19,73;19,598;19,724;18,927;18,757;18,53;18,596;18,506;18,378;18,17;17,905;17,774;17,461;17,197;16,966;16,69;16,488;16,275;16,213;16,021;15,784;15,671;15,596;15,429;15,304
B04;B1;;1;21,4;22,2;22,377;22,254;22,289;22,198;22,202;22,381;22,545;22,637;23,086;23,947;23,574;24,758;24,69;25,929;26,732;26,723;28,784;30,146;30,705;31,843;32,745;34,364;35,151;36,877;38,16;39,029;41,204;40,799;40,717;40,676;41,007;39,253;37,839;37,762;36,958;35,096;33,435;34,97;32,926;34,272;31,974;31,61;30,068;31,044;29,188;26,743;25,552;25,273;18,811;18,048;17,604;16,021;15,439;16,097;15,557;14,352;13,818;13,553;13,975;12,834;12,502;12,616;12,49;12,383;12,285;12,216;12,345;12,309;12,329;12,356;12,384;12,442;12,539;12,476;12,496;12,558;12,528;12,546;12,542;12,646;12,633;12,611;12,689;12,704;12,743;12,734;12,869;12,888;12,863;12,876;12,894;12,917;12,988;13,143;13,18;13,298;13,518;13,749;13,935;14,411;14,688;15,034;15,22;15,849;15,744;15,919;16,259;16,443;16,747;16,895;17,989;18,884;18,929;20,66;20,932;20,873;20,896;20,48;19,963;20,483;20,051;19,926;20,023;20,502;20,635;20,838;20,924;20,607;20,723;20,612;20,508;20,317;19,835;19,573;19,407;19,12;18,952;18,723;18,503;18,382;18,112;18,019
B05;B1;;1;21,943;21,299;22,813;22,856;23,226;23,278;24,65;24,789;25,221;25,719;25,39;25,364;25,491;26,199;26,574;26,674;27,849;28,017;27,622;28,776;30,382;31,784;31,941;33,214;33,13;34,649;35,819;37,238;37,801;37,6;38,498;38,177;37,515;37,007;36,314;35,203;34,823;34,192;31,359;34,255;34,207;29,61;31,888;31,096;27,563;28,009;29,161;27,665;25,16;25,035;22,272;21,04;20,832;16,537;15,738;16,98;13,214;13,439;12,708;12,683;12,153;11,439;11,457;11,246;11,241;11,073;11,037;10,995;10,962;11,001;10,988;11,062;11,067;11,161;11,162;11,314;11,365;11,466;11,509;11,556;11,608;11,607;11,727;11,67;11,622;11,72;11,715;11,762;11,854;11,858;11,922;11,917;11,901;12,02;11,98;11,988;12,036;12,073;12,182;12,264;12,438;12,503;12,648;12,912;13,108;13,414;13,85;14,227;14,625;15,127;15,083;14,957;15,012;15,257;15,579;15,768;16,232;17,241;17,602;18,66;19,131;19,58;19,412;19,287;18,787;18,868;18,894;19,003;19,145;19,111;19,07;19,202;19,063;18,866;18,543;18,231;18,189;17,909;17,632;17,491;17,239;17,086;16,857;16,684
B06;B1;;1;23,054;24,079;24,73;24,681;24,766;24,617;24,533;24,658;25,031;24,934;24,726;25,159;25,502;25,647;26,739;27,202;27,583;28,512;29,672;30,24;31,55;31,732;31,868;32,932;33,109;33,705;34,442;34,685;35,076;34,817;35,877;35,804;36,119;36,764;36,297;37,436;38,136;38,447;38,753;37,424;37,862;37,117;36,497;35,93;36,679;33,696;34,836;32,54;33,092;32,188;31,63;33,379;31,315;29,64;30,255;29,214;25,926;26,692;25,509;25,054;25,111;22,738;22,485;20,56;18,968;18,875;20,142;18,527;16,999;16,232;17,135;15,848;14,738;14,966;14,961;14,59;14,756;14,421;14,348;14,697;14,026;13,599;13,748;13,751;13,639;13,74;13,552;13,367;13,344;13,214;13,037;12,902;12,812;12,737;12,654;12,593;12,598;12,545;12,616;12,573;12,571;12,649;12,668;12,668;12,686;12,733;12,818;12,959;13,217;13,259;13,619;13,76;14,529;14,674;15,132;15,231;15,817;16,078;16,37;17,872;18,952;17,677;20,137;20,869;20,578;20,829;20,779;21,039;20,748;20,361;20,326;20,953;20,782;20,752;20,18;20,26;20,718;20,604;20,82;21,176;20,834;20,559;20,209;20,026
B07;B2;;1;23,616;25,894;19,349;21,469;23,141;24,942;25,972;24,252;30,679;30,155;33,473;31,684;32,111;34,719;33,696;34,392;35,021;34,795;34,536;36,531;36,587;37,703;38,181;38,367;37,866;38,726;39,364;39,356;39,521;38,437;39,072;38,956;38,253;37,912;38,494;37,391;39,135;37,422;38,659;38,33;36,843;35,438;34,788;34,95;34,412;34,474;35,17;32,843;33,677;34,815;32,253;33,909;29,72;29,55;28,665;30,317;29,104;27,701;23,344;24,081;23,601;20,396;18,802;18,382;17,433;16,381;15,553;15,115;14,412;13,836;12,812;12,754;12,236;12,193;11,625;11,418;11,324;11,255;11,221;11,33;11,116;11,155;11,203;11,11;11,095;11,121;11,022;11,086;11,092;11,121;11,106;11,152;11,108;11,083;11,161;11,18;11,128;11,151;11,235;11,277;11,34;11,35;11,343;11,409;11,428;11,47;11,6;11,683;11,838;11,827;12,093;12,2;12,489;12,543;12,726;12,798;13,331;13,488;13,54;13,645;13,839;14,116;14,407;14,521;14,688;14,99;15,205;15,661;15,741;15,705;16,255;16,528;16,756;16,752;16,955;16,895;17,419;17,292;17,679;17,488;17,641;18,636;18,4;17,917
B08;B2;;1;24,709;27,076;30,281;31,689;34,48;35,083;35,961;38,967;39,168;38,03;38,462;38,367;37,926;38,846;40,35;40,56;40,553;40,673;41,206;41,368;41,216;41,434;41,099;41,868;40,57;40,78;41,298;41,037;40,001;40,962;39,26;36,968;39,119;36,095;36,709;35,767;36,22;36,463;35,143;36,101;36,356;36,266;35,44;33,646;33,104;33,906;31,868;32,853;30,337;30,885;31,544;31,134;28,778;29,506;25,636;25,453;26,902;25,127;25,19;22,581;20,721;21,726;20,348;18,72;16,207;17,039;14,553;14,284;13,62;13,198;12,599;12,841;11,937;11,877;11,723;11,522;11,602;11,466;11,525;11,556;11,432;11,48;11,445;11,505;11,443;11,465;11,464;11,528;11,593;11,618;11,626;11,694;11,754;11,804;11,832;11,824;11,941;11,855;12,007;11,968;11,962;12,061;12,122;12,227;12,359;12,474;12,608;12,784;12,81;12,965;13,186;13,387;13,634;13,789;14,013;14,037;14,545;14,871;14,871;15,274;15,275;15,778;15,884;16,184;16,164;16,416;16,64;17,033;17,433;17,619;17,774;17,902;17,866;18,012;17,868;18,1;18,865;18,456;18,446;18,49;18,587;18,978;19,191;18,955
B09;B2;;1;34,927;26,099;22,747;28,335;31,16;30,642;33,693;32,861;32,529;34,884;35,596;35,4;36,324;37,368;38,039;38,476;38,612;39,732;40,325;41,048;40,214;40,652;40,316;39,349;40,051;38,927;39,416;39,509;38,222;36,345;35,877;33,965;32,547;31,491;31,975;29,192;27,166;26,268;24,6;24,509;22,385;20,469;19,106;18,464;16,424;16,001;15,846;15,175;14,907;13,596;12,963;12,825;12,656;12,143;12,094;12,079;11,881;11,702;11,657;11,71;11,65;11,637;11,56;11,59;11,561;11,541;11,488;11,544;11,483;11,491;11,471;11,523;11,504;11,547;11,635;11,575;11,686;11,636;11,632;11,663;11,688;11,713;11,78;11,737;11,778;11,833;11,834;12,009;12,078;12,085;12,254;12,4;12,491;12,724;12,697;12,95;13,01;13,116;13,332;13,502;14,004;14,083;14,256;14,661;14,451;14,644;14,942;15,16;15,519;15,701;15,851;16,391;16,163;16,258;16,602;16,79;17,044;16,992;17,288;17,624;17,669;17,815;17,894;17,95;18,234;18,24;18,407;18,521;19,029;18,546;18,621;18,821;18,562;18,561;18,492;18,332;18,203;18,196;18,354;18,574;18,036;17,969;17,919;17,846
B10;B2;;1;27,985;23,25;24,15;24,858;25,307;25,43;25,797;25,917;27,558;28,189;28,863;28,977;28,619;28,497;29,226;28,075;28,444;28,744;29,669;30,383;31,422;34,027;33,367;34,705;34,517;37,389;36,985;38,245;38,156;38,59;38,85;38,066;37,442;37,572;38,123;36,442;34,778;36,46;36,241;36,045;32,957;34,971;33,773;30,627;33,104;29,511;27,263;25,486;25,542;26,183;25,94;24,093;20,564;18,743;19,169;16,451;15,261;14,859;15,235;14,913;13,924;12,718;13,362;12,333;12,265;12,19;12,081;11,941;11,878;11,822;11,771;11,803;11,806;11,715;11,719;11,793;11,793;11,96;11,903;11,886;11,871;12,148;12,155;12,048;12,049;12,151;12,251;12,181;12,193;12,194;12,313;12,288;12,199;12,17;12,16;12,269;12,271;12,278;12,479;12,749;13,102;13,239;13,688;13,652;13,841;13,971;13,546;13,885;13,966;14,036;14,012;14,549;14,775;15,193;15,426;15,375;15,906;15,852;16,099;15,763;15,906;16,71;16,606;16,878;16,879;17,324;17,525;17,919;18,303;18,643;18,721;19,456;18,388;19,58;18,965;19,17;18,388;19,016;18,24;18,963;18,448;19,056;18,795;18,755
