FILE NAME;MIM - Aureo_20260818-BSO.csv
PROTOCOL;MIM - Aureo
FILE_VERSION;3.3
DATE START;1.1.2006;12:06:03
DATE END;1.1.2006;12:06:03
DEVICE;BL165_CX-383610
USER;MIM SBT;COMMENT;no comment available
PLATETYPE;96 new;LOT;UNKOWN
MTP ROWS;8
MTP COLUMNS;12
FILTERSETS;4

FILTERSET;FILTERNAME;EX [nm];EM [nm];LAYOUT;FILTERNO;GAIN;PHASESTATISTICSSIGMA;SIGNALQUALITYTOLERANCE;REFERENCE VALUE;Process Parameters;;Calibration Parameters;;;;Criterion Parameters;;
1;Biomass           ;620;620;MIM - Aureo - 2;1;20;1;0;100;SET TEMPERATURE [C];30;Phi0;72,21;Biomass Slope;0;CRITERION;;
2;Biomass           ;620;620;MIM - Aureo - 2;1;30;1;0;100;SET HUMIDITY [%];85;Phi100;42,01;Biomass Offset;0;FI;;
3;Biomass           ;620;620;MIM - Aureo - 2;1;40;1;0;100;SET O2 [%];20,95;Phi,min;56,03;Biomass Unit;DCW [g/L];FJ;;
4;Biomass           ;620;620;MIM - Aureo - 2;1;50;1;0;100;SET CO2 [%];0;Phi,max;11,11;;;FACTOR;0;
;;;;;;;;;;SET SHAKER FREQUENCY [rpm];1000;pH0;6,16;;;S0;NaN;
;;;;;;;;;;SET CYCLE TIME [min];10;dpH;0,53;;;EXTRA INFO;;
;;;;;;;;;;SET EXP TIME [h];1193;Temp. Compensation for pH Calibration;False;Temp. pH [C];28;;;
;;;;;;;;;;;;Temp. Compensation for pO2 Calibration;False;Temp. pO2 [C];28;;;

WELL No.;CONTENT;DESCRIPTION;CHANNEL;
;;;READING ->;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147
;;;TIME [h] ->;0,03187;0,18411;0,35073;0,51762;0,68435;0,85101;1,01778;1,18453;1,35132;1,51771;1,68409;1,85097;2,01777;2,18457;2,35108;2,51807;2,68476;2,85147;3,01807;3,18454;3,35123;3,51784;3,68489;3,8515;4,01832;4,18468;4,35163;4,51826;4,68472;4,85179;5,01857;5,18504;5,35185;5,51834;5,68526;5,85188;6,0186;6,18516;6,35198;6,5186;6,68536;6,85198;7,01879;7,18531;7,35197;7,51861;7,68558;7,85236;8,01905;8,18566;8,35251;8,51888;8,68554;8,85243;9,01878;9,18589;9,35244;9,51928;9,68581;9,85249;10,01938;10,18598;10,35263;10,51939;10,68608;10,85269;11,01974;11,18622;11,35286;11,51938;11,6862;11,85286;12,01943;12,18624;12,35318;12,5199;12,68654;12,85338;13,0198;13,1866;13,35316;13,51995;13,68656;13,85323;14,02007;14,18668;14,35332;14,52027;14,68676;14,85359;15,0205;15,18692;15,35357;15,52018;15,6868;15,85353;16,02047;16,18706;16,35392;16,52066;16,68727;16,85396;17,02046;17,18734;17,35416;17,52061;17,68759;17,85416;18,02061;18,18741;18,35402;18,52101;18,68771;18,8541;19,02099;19,18759;19,3544;19,5209;19,68779;19,85451;20,02102;20,18775;20,35466;20,52123;20,68781;20,85516;21,02128;21,18807;21,35502;21,52164;21,68823;21,85482;22,0214;22,18819;22,35487;22,52174;22,6884;22,85492;23,02208;23,18829;23,35522;23,52196;23,68875;23,85518;24,02197;24,18878;24,35552
C03;B1;;1;26,639;15,657;14,367;14,144;13,246;12,583;12,543;12,363;11,354;11,255;11,015;10,631;10,707;10,505;10,496;10,481;10,466;10,482;10,418;10,399;10,401;10,396;10,411;10,397;10,425;10,421;10,466;10,465;10,509;10,531;10,594;10,602;10,634;10,692;10,722;10,74;10,8;10,794;10,825;10,861;10,898;10,904;10,951;10,958;11,004;11,068;11,007;11,079;11,095;11,115;11,177;11,203;11,213;11,255;11,3;11,311;11,318;11,346;11,389;11,415;11,468;11,51;11,548;11,58;11,633;11,695;11,766;11,868;11,932;12,027;12,121;12,241;12,363;12,48;12,627;12,726;12,878;12,963;13,131;13,268;13,408;13,592;13,737;13,881;14,013;14,25;14,354;14,5;14,804;14,981;15,289;15,39;15,769;15,851;15,947;16,225;16,404;16,576;16,752;17,088;17,353;17,472;17,557;17,773;17,757;18,057;18,114;17,825;17,741;17,766;17,822;17,599;17,616;17,508;17,241;17,242;17,234;16,949;16,762;16,497;16,367;16,306;16,188;16,082;15,902;15,868;15,799;15,688;15,641;15,562;15,537;15,511;15,539;15,548;15,587;15,544;15,599;15,622;15,668;15,752;15,778;15,834;15,854;15,827;15,842;15,845;15,869
C04;B1;;1;16,108;14,126;13,49;13,867;13,316;13,536;13,143;12,648;12,76;12,024;11,784;11,795;11,578;11,735;11,055;11,633;10,808;10,707;10,477;10,837;10,591;10,622;10,218;10,296;10,262;10,166;10,171;10,21;10,195;10,224;10,234;10,255;10,277;10,299;10,303;10,346;10,357;10,365;10,403;10,419;10,426;10,471;10,523;10,525;10,566;10,593;10,601;10,615;10,634;10,661;10,692;10,728;10,749;10,761;10,813;10,82;10,857;10,901;10,945;10,961;11,007;10,992;11,053;11,075;11,112;11,144;11,188;11,231;11,246;11,267;11,301;11,34;11,38;11,399;11,443;11,456;11,487;11,514;11,564;11,614;11,67;11,727;11,816;11,864;11,957;12,072;12,153;12,261;12,325;12,468;12,599;12,621;12,821;12,888;13,026;13,197;13,381;13,608;13,661;13,863;14,015;14,116;14,211;14,512;14,536;14,84;14,695;15,204;15,446;15,479;15,823;16,183;16,433;16,585;16,524;16,69;16,987;16,527;16,871;16,513;16,485;16,532;16,55;16,463;16,316;16,456;16,173;16,016;15,907;15,756;15,651;15,528;15,428;15,354;15,322;15,2;15,085;15,013;14,939;14,907;14,921;14,874;14,847;14,812;14,811;14,803;14,827
C05;B1;;1;43,845;19,511;19,958;18,507;18,391;18,025;18,333;17,559;16,362;16,302;16,02;16,575;15,683;15,602;14,559;15,168;14,047;13,797;13,627;13,394;13,767;13,63;12,555;12,59;11,836;12,383;12,459;11,637;11,818;11,265;10,709;10,959;10,948;10,896;10,571;10,609;10,58;10,519;10,557;10,544;10,541;10,524;10,605;10,593;10,579;10,613;10,601;10,611;10,638;10,651;10,712;10,705;10,726;10,78;10,76;10,8;10,834;10,848;10,869;10,935;10,951;10,959;10,991;10,993;11,029;11,078;11,083;11,128;11,134;11,201;11,152;11,222;11,232;11,267;11,308;11,324;11,348;11,363;11,422;11,429;11,436;11,477;11,523;11,505;11,533;11,566;11,591;11,643;11,632;11,692;11,741;11,761;11,815;11,881;11,935;12,007;12,05;12,13;12,216;12,306;12,441;12,483;12,626;12,776;12,807;12,89;13,093;13,131;13,293;13,37;13,483;13,699;13,877;13,925;14,067;14,26;14,24;14,58;14,716;14,813;15,03;15,182;15,419;15,695;15,98;16,321;16,501;16,724;16,783;16,826;16,739;16,602;16,709;16,674;16,77;16,569;16,531;16,551;16,433;16,267;16,145;16,053;15,939;15,729;15,652;15,635;15,558
C06;X1;;1;9,116;9,197;9,179;9,215;9,243;9,25;9,242;9,276;9,235;9,283;9,264;9,264;9,256;9,276;9,285;9,312;9,334;9,334;9,363;9,372;9,395;9,382;9,421;9,454;9,44;9,443;9,467;9,519;9,514;9,536;9,585;9,59;9,626;9,6;9,631;9,661;9,699;9,721;9,734;9,78;9,794;9,838;9,846;9,881;9,914;9,957;9,935;9,982;10,012;10,035;10,079;10,116;10,176;10,204;10,286;10,303;10,36;10,446;10,506;10,556;10,622;10,692;10,76;10,815;10,888;10,966;11,05;11,125;11,213;11,307;11,363;11,489;11,568;11,686;11,835;11,971;12,14;12,292;12,506;12,695;12,904;13,094;13,355;13,601;13,928;14,323;14,548;14,963;15,365;16,171;17,017;17,505;18,047;19,096;19,631;20,089;20,498;21,108;21,647;22,349;22,808;23,532;24,531;25,96;27,3;28,151;28,798;29,583;29,855;30,726;30,677;31,203;31,128;31,696;31,665;32,024;31,96;32,267;33,055;32,777;31,989;32,046;31,745;31,761;31,422;31,698;31,679;31,904;32,063;31,879;31,932;31,795;31,537;31,842;31,81;31,672;32,464;31,826;32,977;32,168;32,559;32,514;33,682;32,697;32,947;35,084;34,317
C07;X1;;1;9,947;9,94;9,928;9,965;9,975;9,995;9,999;10,006;10,054;10,056;10,062;10,072;10,072;10,103;10,09;10,126;10,156;10,181;10,199;10,219;10,251;10,262;10,284;10,296;10,327;10,355;10,374;10,39;10,378;10,41;10,43;10,455;10,457;10,499;10,512;10,527;10,557;10,548;10,563;10,603;10,629;10,649;10,664;10,662;10,721;10,732;10,743;10,746;10,763;10,809;10,834;10,86;10,894;10,939;10,948;10,978;11,008;11,063;11,129;11,165;11,211;11,269;11,317;11,389;11,452;11,553;11,614;11,733;11,827;11,944;12,049;12,192;12,32;12,457;12,62;12,772;12,944;13,131;13,369;13,594;13,952;14,369;14,594;15,062;15,319;15,754;15,898;16,722;17,657;17,924;18,712;19,147;19,992;20,045;20,321;20,687;21,113;21,696;22,222;22,797;23,436;23,775;23,959;24,708;25,285;26,28;27,482;29,097;30,216;30,006;30,782;30,835;31,263;31,364;31,268;31,679;32,062;31,735;32,473;32,18;31,768;31,636;31,179;30,45;30,194;30,257;30,192;30,359;30,592;30,619;30,598;30,655;30,636;30,666;30,608;30,525;30,922;30,621;30,977;30,933;31,76;32,749;33,149;33,911;33,061;32,971;33,013
C08;X1;;1;10,018;9,898;9,891;9,935;9,954;9,97;9,977;9,98;9,983;9,995;9,985;10,014;9,991;10,019;10,012;10,064;10,091;10,08;10,098;10,108;10,146;10,154;10,192;10,194;10,213;10,218;10,253;10,288;10,296;10,299;10,312;10,36;10,379;10,397;10,427;10,425;10,453;10,453;10,494;10,511;10,531;10,547;10,566;10,584;10,609;10,656;10,631;10,687;10,68;10,743;10,798;10,817;10,838;10,896;10,948;10,988;11,025;11,092;11,132;11,182;11,224;11,318;11,386;11,448;11,498;11,602;11,647;11,726;11,77;11,875;11,91;12,03;12,126;12,216;12,356;12,449;12,585;12,739;12,937;13,11;13,263;13,437;13,694;13,924;14,138;14,362;14,712;15,059;15,355;15,704;16,035;16,319;16,85;17,375;18,103;19,043;19,506;19,706;20,106;20,549;21,024;21,626;22,291;23,265;24,208;25,119;26,071;26,446;27,153;27,443;27,603;27,987;28,043;28,257;28,468;28,553;28,904;28,644;28,689;28,959;28,704;29,083;29,114;29,317;29,54;29,663;29,972;30,044;30,251;30,672;30,945;31,343;31,576;31,753;32,046;31,855;31,97;32,504;32,137;32,938;32,643;32,971;32,809;32,961;33,212;33,403;33,806
C09;X1;;1;11,781;9,709;9,748;9,899;9,728;9,777;9,669;9,672;9,676;9,712;9,666;9,61;9,677;9,707;9,704;9,719;9,738;9,769;9,745;9,741;9,777;9,781;9,757;9,791;9,777;9,793;9,795;9,81;9,806;9,801;9,851;9,865;9,822;9,895;9,857;9,914;9,948;9,93;9,98;9,977;9,975;10,012;10,007;10,052;10,095;10,129;10,12;10,146;10,15;10,19;10,231;10,297;10,278;10,339;10,411;10,441;10,485;10,558;10,586;10,641;10,678;10,761;10,826;10,9;10,996;11,071;11,149;11,267;11,332;11,449;11,495;11,611;11,773;11,863;12,036;12,165;12,291;12,476;12,624;12,767;12,95;13,154;13,335;13,565;13,724;13,886;14,196;14,398;14,636;14,915;15,24;15,455;15,598;15,844;15,983;16,37;16,341;16,816;17,265;17,943;19,016;19,779;20,255;21,641;22,051;22,54;23,261;23,742;24,268;24,686;25,068;25,316;25,769;25,929;26,07;26,066;26,304;26,542;26,82;27,176;27,275;27,553;27,95;28,358;28,62;29,02;29,082;29,293;29,532;30,058;30,097;29,81;30,157;30,66;30,605;31,374;31,073;31,898;32,177;31,966;32,568;32,396;33,126;33,232;33,303;33,564;34,287
C10;X1;;1;9,02;8,995;9,02;9,028;9,035;9,067;9,075;9,098;9,101;9,116;9,119;9,128;9,143;9,149;9,181;9,185;9,21;9,233;9,246;9,264;9,248;9,29;9,303;9,349;9,365;9,39;9,392;9,408;9,403;9,428;9,422;9,462;9,449;9,482;9,5;9,52;9,545;9,534;9,561;9,574;9,598;9,609;9,638;9,671;9,69;9,687;9,71;9,728;9,749;9,801;9,821;9,846;9,879;9,914;9,963;10,006;10,057;10,117;10,147;10,197;10,26;10,306;10,381;10,471;10,485;10,61;10,677;10,755;10,82;10,92;10,974;11,037;11,169;11,303;11,466;11,519;11,625;11,745;12,022;12,125;12,29;12,478;12,699;12,871;13,079;13,354;13,628;13,931;14,18;14,435;14,616;14,92;15,263;15,436;15,802;16,107;16,446;16,977;17,6;18,937;18,96;19,523;20,63;20,784;21,307;22,313;22,816;23,236;23,591;23,96;24,375;24,557;24,76;24,851;25,041;25,341;25,726;25,837;26,268;26,553;26,539;26,965;27,098;27,287;27,297;27,599;27,956;28,27;28,42;29,189;29,084;29,787;30,082;30,244;29,937;30,299;30,572;31,096;30,702;30,907;31,098;30,832;30,825;31,007;30,98;32,162;31,421
D03;B2;;1;10,258;10,01;10,03;10,024;10,027;10,119;10,071;10,066;10,111;10,139;10,139;10,153;10,169;10,171;10,155;10,204;10,211;10,223;10,235;10,251;10,248;10,282;10,277;10,286;10,288;10,306;10,345;10,331;10,355;10,381;10,391;10,383;10,428;10,41;10,453;10,468;10,485;10,499;10,524;10,537;10,525;10,547;10,609;10,616;10,586;10,646;10,598;10,621;10,601;10,674;10,679;10,659;10,683;10,692;10,697;10,728;10,751;10,776;10,796;10,813;10,823;10,85;10,862;10,854;10,871;10,893;10,868;10,937;10,946;10,957;10,938;11,024;11,024;11,04;11,057;11,067;11,065;11,08;11,093;11,119;11,146;11,134;11,16;11,153;11,118;11,179;11,197;11,196;11,219;11,264;11,285;11,304;11,355;11,4;11,393;11,452;11,485;11,513;11,566;11,612;11,649;11,704;11,757;11,856;11,888;11,933;12,023;12,063;12,127;12,197;12,292;12,379;12,444;12,546;12,634;12,706;12,902;12,953;13,08;13,22;13,181;13,346;13,406;13,497;13,763;13,683;13,858;13,923;14,085;14,178;14,301;14,401;14,562;14,627;14,854;14,902;15,01;15,167;15,354;15,484;15,846;15,674;15,789;15,872;15,979;16,261;16,282
