FILE NAME;MIM - Aureo_BSG_260827.csv
PROTOCOL;MIM - Aureo
FILE_VERSION;3.3
DATE START;1.1.2006;12:41:04
DATE END;1.1.2006;12:41:04
DEVICE;BL165_CX-383610
USER;MIM SBT;COMMENT;no comment available
PLATETYPE;96 new;LOT;UNKOWN
MTP ROWS;8
MTP COLUMNS;12
FILTERSETS;4

FILTERSET;FILTERNAME;EX [nm];EM [nm];LAYOUT;FILTERNO;GAIN;PHASESTATISTICSSIGMA;SIGNALQUALITYTOLERANCE;REFERENCE VALUE;Process Parameters;;Calibration Parameters;;;;Criterion Parameters;;
1;Biomass           ;620;620;MIM - Aureo - 2;1;20;1;0;100;SET TEMPERATURE [C];30;Phi0;72,21;Biomass Slope;0;CRITERION;;
2;Biomass           ;620;620;MIM - Aureo - 2;1;30;1;0;100;SET HUMIDITY [%];85;Phi100;42,01;Biomass Offset;0;FI;;
3;Biomass           ;620;620;MIM - Aureo - 2;1;40;1;0;100;SET O2 [%];20,95;Phi,min;56,03;Biomass Unit;DCW [g/L];FJ;;
4;Biomass           ;620;620;MIM - Aureo - 2;1;50;1;0;100;SET CO2 [%];0;Phi,max;11,11;;;FACTOR;0;
;;;;;;;;;;SET SHAKER FREQUENCY [rpm];1000;pH0;6,16;;;S0;NaN;
;;;;;;;;;;SET CYCLE TIME [min];10;dpH;0,53;;;EXTRA INFO;;
;;;;;;;;;;SET EXP TIME [h];1193;Temp. Compensation for pH Calibration;False;Temp. pH [C];28;;;
;;;;;;;;;;;;Temp. Compensation for pO2 Calibration;False;Temp. pO2 [C];28;;;

WELL No.;CONTENT;DESCRIPTION;CHANNEL;
;;;READING ->;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159
;;;TIME [h] ->;0,03201;0,18393;0,3509;0,51747;0,68402;0,85104;1,01759;1,18434;1,35122;1,51796;1,68439;1,8511;2,01769;2,1847;2,35121;2,51804;2,68472;2,85133;3,01798;3,18477;3,35173;3,51838;3,68466;3,85173;4,01825;4,18489;4,35165;4,51853;4,68512;4,85195;5,01857;5,18534;5,35174;5,51861;5,68528;5,85201;6,01867;6,1857;6,352;6,51866;6,68537;6,85208;7,01907;7,18543;7,35219;7,51881;7,68552;7,85212;8,01894;8,18582;8,35271;8,51891;8,68577;8,85281;9,01919;9,18585;9,35264;9,51926;9,68592;9,85272;10,01938;10,18638;10,35282;10,51938;10,68626;10,85287;11,0196;11,1865;11,35304;11,5194;11,68606;11,853;12,01977;12,18639;12,3531;12,51972;12,68662;12,85296;13,02003;13,18681;13,3534;13,51991;13,68647;13,8533;14,02013;14,18696;14,35361;14,52016;14,6868;14,85356;15,02024;15,18692;15,35373;15,52036;15,68707;15,85388;16,02043;16,1872;16,35379;16,52044;16,6873;16,85384;17,02068;17,18748;17,35423;17,52086;17,68737;17,85443;18,02072;18,18752;18,35448;18,52098;18,68771;18,85447;19,02104;19,18785;19,35437;19,52122;19,68801;19,85434;20,02097;20,18785;20,35474;20,52138;20,6879;20,85475;21,02166;21,18843;21,35494;21,52155;21,68803;21,8552;22,02138;22,18822;22,35476;22,52154;22,68853;22,85535;23,02185;23,18868;23,35531;23,52166;23,68867;23,85551;24,02213;24,18861;24,35528;24,52201;24,68899;24,85572;25,02251;25,18878;25,35556;25,52206;25,68903;25,85554;26,02272;26,18913;26,35561
C03;B1;;1;22,186;33,014;36,915;38,556;38,806;39,515;40,037;40,226;40,804;40,938;41,818;41,72;42,185;41,77;41,979;42,371;43,026;42,152;43,573;43,626;43,387;43,489;43,802;43,878;44,63;44,1;44,694;44,049;44,324;44,758;43,788;44,092;44,414;43,993;43,764;43,901;42,503;42,738;42,021;41,511;41,965;41,31;39,891;39,757;41,199;40,044;38,57;39,433;38,689;38,49;39,136;38,944;38,464;36,964;36,452;36,211;34,819;34,041;34,758;33,996;33,55;33,96;32,648;32,725;30,986;32,609;30,706;31,585;30,008;31,313;30,25;30,624;30,017;31,071;28,408;28,245;27,525;28,391;28,189;27,887;28,333;27,876;27,192;27,924;26,008;27,099;25,06;26,026;25,838;25,907;25,063;24,711;25,142;23,752;24,212;22,598;23,738;21,616;19,163;22,808;21,263;20,894;20,677;19,888;17,845;18,174;18,361;17,244;17,627;17,324;18,931;17,281;18,398;17,634;16,83;15,456;15,226;15,744;14,818;14,764;14,26;14,258;13,372;13,544;13,247;12,57;12,671;12,005;11,853;11,951;11,794;11,723;11,77;11,808;11,941;12,089;12,348;12,412;12,728;13,041;13,077;13,229;13,384;13,79;13,887;14,374;14,588;15,209;15,768;16,128;16,527;17,24;17,69;18,377;18,225;18,36;18,872;18,513;18,514
C04;B1;;1;26,408;27,549;30,508;32,599;32,896;34,084;35,002;36,176;35,732;36,81;36,744;37,129;37,508;37,094;38,113;37,435;38,859;39,197;38,264;39,298;40,189;39,53;40,176;40,033;40,811;41,018;41,815;42,007;43,236;43,55;43,411;43,616;44,037;43,781;43,481;44,053;43,421;44,553;44,627;44,038;44,886;44,214;44,415;44,696;43,556;43,806;44,257;42,912;44,189;43,398;42,551;41,857;42,619;41,049;41,595;41,922;41,572;41,091;39,211;39,784;40,249;38,712;38,094;39,791;39,106;37,538;37,745;36,062;36,559;35,609;35,602;35,313;36,727;35,924;34,725;33,805;33,105;34,244;31,299;34,665;33,732;33,138;30,267;33,437;31,771;32,304;31,915;31,93;30,662;31,713;29,28;30,673;30,063;30,146;29,144;27,675;28,119;27,634;27,868;28,598;26,833;26,813;24,73;25,122;24,756;23,171;23,961;21,768;21,767;20,847;19,817;22,513;21,355;20,146;19,498;19,333;17,971;18,243;18,31;18,798;17,415;17,456;17,88;16,632;16,342;16,522;16,194;15,155;16,02;15,996;15,173;14,763;14,192;14,792;14,452;13,761;13,642;14,606;14,502;13,816;13,737;13,353;13,017;13,302;12,756;12,934;12,618;12,499;12,532;12,407;12,114;12,098;12,213;12,36;12,024;12,185;12,019;12,023;12,079
C05;B1;;1;36,614;26,21;26,236;26,502;26,143;26,536;26,667;27,319;27,081;27,019;27,206;27,708;27,648;27,779;27,664;28,286;29,408;29,614;29,452;29,71;30,307;31,067;30,096;31,488;32,32;32,547;32,957;33,284;33,728;34,212;34,617;34,504;34,166;34,866;35,837;36,207;35,24;36,396;37,329;36,899;36,771;37,17;36,714;36,611;37,645;36,517;37,16;38,86;38,186;38,896;37,521;38,869;38,356;38,503;38,879;38,12;39,21;39,301;38,66;39,03;39,666;39,148;40,232;39,431;39,591;40,183;39,49;41,067;39,788;40,636;40,542;41,26;41,378;41,453;42,476;41,316;41,957;40,824;41,397;41,134;41,755;40,759;41,416;40,966;41,221;41,48;41,308;42,192;41,096;40,614;40,268;40,996;41,184;40,398;40,394;40,54;39,021;40,125;39,186;38,9;38,783;36,992;37,734;39,186;38,103;37,571;36,339;36,936;36,674;35,913;35,01;35,92;35,347;34,874;34,722;34,036;34,025;34,501;33,31;32,03;33,044;32,383;31,787;31,728;31,105;30,532;30,675;30,11;30,385;30,877;28,239;29,795;27,481;27,781;27,196;27,295;27,384;26,123;27,215;25,533;26,196;25,893;24,404;24,718;23,556;23,003;24,239;23,937;22,866;24,163;23,562;22,653;20,445;22,541;21,696;21,559;20,686;19,881;19,695
C06;X1;;1;9,727;9,731;9,791;9,791;9,82;9,854;9,884;9,869;9,93;9,945;9,941;9,961;10,012;10,008;10,023;10,005;10,028;10,072;10,086;10,118;10,092;10,105;10,159;10,15;10,179;10,207;10,248;10,241;10,288;10,314;10,327;10,363;10,403;10,378;10,458;10,464;10,469;10,546;10,558;10,587;10,606;10,635;10,659;10,726;10,761;10,812;10,851;10,875;10,926;10,999;11,037;11,118;11,177;11,248;11,291;11,36;11,424;11,519;11,63;11,675;11,771;11,851;11,928;12,021;12,16;12,289;12,421;12,571;12,679;12,79;13,036;13,192;13,33;13,514;13,743;14,066;14,199;14,442;14,714;14,998;15,272;15,515;15,83;16,216;16,264;16,452;16,7;17,038;17,291;17,601;17,852;18,162;18,768;21,339;21,919;22,409;22,766;23,525;23,93;23,981;24,342;24,663;25,05;25,568;25,811;26,014;26,53;26,796;27,264;27,636;28,083;28,47;28,925;29,294;29,846;29,924;29,93;29,319;29,281;29,093;29,616;29,195;29,109;29,269;29,28;29,447;29,348;29,624;29,696;29,842;30,625;30,946;30,876;31,016;31,306;31,609;31,644;32,596;33,272;32,986;33,882;34,821;35,029;35,508;35,884;36,616;37,197;37,963;38,329;39,148;39,609;40,37;40,89;41,309;42,329;43,126;43,643;44,446;45,016
C07;X1;;1;9,923;9,92;9,959;9,969;9,971;9,974;10,005;10,015;10,02;10,045;10,015;10,048;10,056;10,065;10,105;10,131;10,1;10,113;10,155;10,183;10,185;10,206;10,222;10,212;10,252;10,242;10,241;10,273;10,354;10,325;10,327;10,373;10,449;10,41;10,472;10,468;10,536;10,567;10,579;10,601;10,645;10,638;10,694;10,743;10,779;10,826;10,883;10,914;10,951;11,017;11,098;11,147;11,195;11,262;11,301;11,385;11,424;11,533;11,634;11,718;11,785;11,88;11,989;12,128;12,295;12,371;12,557;12,617;12,807;12,992;13,125;13,338;13,493;13,726;13,919;14,123;14,397;14,615;14,809;15,128;15,434;15,705;15,973;16,308;16,386;16,602;16,889;17,185;17,438;17,692;17,932;18,242;18,858;20,78;21,497;22,109;22,48;22,897;23,568;23,765;24,018;24,377;24,744;25,15;25,567;25,951;26,297;26,709;27,131;27,528;28,013;28,432;28,987;29,252;29,539;30,076;30,196;30,279;30,161;30,182;30,233;30,275;30,308;30,479;30,361;30,446;31,017;31,029;30,911;31,614;31,254;31,602;31,904;32,205;33,11;33,566;33,433;34,252;34,655;35,219;35,953;36,725;37,626;38,874;39,805;40,653;41,471;42,265;42,957;44,172;45,2;46,34;47,496;48,036;48,358;48,231;48,548;48,55;48,957
C08;X1;;1;10,212;10,219;10,252;10,268;10,304;10,293;10,327;10,306;10,37;10,377;10,385;10,386;10,418;10,408;10,425;10,449;10,472;10,455;10,488;10,5;10,533;10,572;10,586;10,56;10,589;10,598;10,661;10,654;10,674;10,732;10,724;10,764;10,791;10,826;10,871;10,856;10,892;10,921;10,983;10,983;11,042;11,042;11,095;11,12;11,184;11,249;11,278;11,295;11,365;11,391;11,493;11,55;11,596;11,648;11,752;11,829;11,849;11,981;12,067;12,154;12,247;12,355;12,468;12,592;12,734;12,838;13,021;13,13;13,24;13,393;13,608;13,791;13,928;14,193;14,372;14,599;14,823;15,075;15,365;15,599;15,915;16,192;16,559;16,747;16,887;17,069;17,316;17,591;17,802;18,095;18,23;18,49;18,743;19,247;21,107;22,078;22,581;22,761;23,268;23,487;23,712;23,991;24,413;24,812;25,038;25,27;25,709;26,079;26,505;26,829;27,27;27,772;27,978;28,335;28,164;28,384;28,351;28,559;28,725;29,076;28,864;28,86;28,899;29,224;29,015;29,292;29,348;29,321;29,332;29,907;30,357;30,314;30,55;30,769;31,642;31,424;31,764;32,03;32,624;32,928;33,435;33,957;34,316;35,069;35,387;35,786;36,361;37,194;38,089;38,729;39,602;40,415;41,206;41,566;42,253;42,498;43,526;44,474;45,545
C09;X1;;1;9,778;9,797;9,849;9,875;9,91;9,903;9,953;9,946;9,987;10,012;9,981;10,018;10,026;10,069;10,085;10,094;10,097;10,103;10,145;10,17;10,192;10,188;10,211;10,212;10,245;10,281;10,29;10,269;10,351;10,36;10,404;10,43;10,46;10,487;10,564;10,549;10,603;10,599;10,608;10,679;10,684;10,766;10,769;10,853;10,857;10,965;10,993;11,014;11,101;11,174;11,219;11,293;11,367;11,433;11,516;11,589;11,667;11,798;11,895;11,983;12,1;12,223;12,336;12,503;12,624;12,76;12,981;13,119;13,283;13,407;13,59;13,826;14,031;14,203;14,453;14,702;14,89;15,128;15,407;15,733;15,971;16,29;16,531;16,768;16,821;17,181;17,484;17,731;17,956;18,186;18,439;18,686;19,075;19,656;21,668;22,427;23,149;23,755;23,92;24,298;24,732;25,16;25,486;25,85;25,967;26,479;26,585;26,97;27,239;27,486;27,825;28,279;28,224;28,373;28,565;28,784;29,361;29,436;29,653;29,872;30,071;30,327;30,419;30,538;30,802;30,872;31,079;31,18;31,523;31,531;31,921;32,097;32,512;32,909;33,275;33,555;34,081;34,708;35,376;35,919;36,701;37,339;38,182;39,176;40,113;40,883;41,437;42,162;42,779;43,434;44,314;45,134;46,092;46,839;47,345;48,33;48,881;49,184;49,581
C10;X1;;1;9,103;9,133;9,192;9,203;9,208;9,266;9,253;9,267;9,28;9,285;9,319;9,333;9,294;9,329;9,339;9,343;9,413;9,398;9,423;9,44;9,437;9,473;9,531;9,5;9,532;9,538;9,567;9,57;9,624;9,657;9,708;9,722;9,731;9,772;9,854;9,861;9,89;9,912;9,939;10,006;9,993;10,057;10,092;10,143;10,172;10,229;10,284;10,305;10,398;10,447;10,502;10,597;10,659;10,712;10,826;10,86;10,952;11,086;11,154;11,261;11,353;11,444;11,585;11,746;11,892;11,994;12,203;12,343;12,494;12,602;12,82;13,04;13,253;13,45;13,63;13,922;14,22;14,379;14,728;15,04;15,364;15,684;16,019;16,297;16,407;16,662;16,91;17,237;17,417;17,678;17,856;18,137;18,432;18,87;20,061;21,97;22,292;22,963;23,16;23,504;23,851;24,224;24,486;25,132;25,156;25,454;25,991;26,368;26,714;27,218;27,652;28,001;28,217;28,263;28,378;28,546;28,599;29,012;28,77;28,751;28,788;28,743;28,751;28,782;29,294;28,889;28,993;29,139;29,886;29,728;29,834;30,743;30,522;30,848;30,912;31,348;31,716;32,017;32,311;32,859;33,425;33,844;34,882;35,086;35,548;36,081;36,789;37,355;38,343;39,233;40,001;40,926;41,659;42,733;43,111;43,873;45,114;46,03;46,921
D03;B2;;1;32,918;30,261;25,998;27,334;29,848;29,995;30,892;31,663;32,903;32,893;34,443;35,013;35,33;35,341;35,86;35,91;36,342;35,999;36,021;36,1;36,239;35,725;36,175;36,417;37,331;37,255;37,105;37,425;37,751;37,808;38,935;38,482;38,429;37,981;39,025;37,806;38,761;39,493;39,73;39,391;39,852;39,44;40,558;39,849;40,201;39,596;39,97;41,064;41,089;40,81;40,498;40,765;41,186;41,374;41,109;41,582;41,951;41,069;41,696;41,886;41,812;41,688;41,959;42,206;41,651;41,894;42,224;42,552;42,058;42,268;42,707;42,11;42,414;42,805;42,052;42,757;42,457;42,71;43,279;42,404;42,06;42,329;42,661;43,227;42,878;42,861;42,505;42,742;42,856;42,763;42,834;42,614;42,054;41,609;42,241;42,214;42,45;41,656;41,772;42,691;42,088;41,328;42,647;42,023;40,934;40,553;39,86;40,673;40,984;41,547;40,92;40,544;39,364;39,047;40,191;39,561;39,247;38,575;38,523;39,829;38,699;38,698;39,214;39,47;37,866;37,29;41,064;38,045;35,559;39,949;37,548;34,725;37,766;36,419;38,037;37,619;34,665;35,874;35,506;34,41;35,376;34,389;34,267;35,831;34,153;36,403;35,063;34,545;33,92;33,612;33,319;35,857;33,588;34,503;34,83;34,664;33,048;33,527;33,47
