FILE NAME;MIM - Aureo_260908-BSPH.csv
PROTOCOL;MIM - Aureo
FILE_VERSION;3.3
DATE START;1.1.2006;12:03:05
DATE END;2.1.2006;13:01:00
DEVICE;BL165_CX-383610
USER;MIM SBT;COMMENT;BSPH
PLATETYPE;96 new;LOT;UNKOWN
MTP ROWS;8
MTP COLUMNS;12
FILTERSETS;4

FILTERSET;FILTERNAME;EX [nm];EM [nm];LAYOUT;FILTERNO;GAIN;PHASESTATISTICSSIGMA;SIGNALQUALITYTOLERANCE;REFERENCE VALUE;Process Parameters;;Calibration Parameters;;;;Criterion Parameters;;
1;Biomass           ;620;620;MIM - Aureo - 2;1;20;1;0;100;SET TEMPERATURE [C];30;Phi0;72,21;Biomass Slope;0;CRITERION;;
2;Biomass           ;620;620;MIM - Aureo - 2;1;30;1;0;100;SET HUMIDITY [%];85;Phi100;42,01;Biomass Offset;0;FI;;
3;Biomass           ;620;620;MIM - Aureo - 2;1;40;1;0;100;SET O2 [%];20,95;Phi,min;56,03;Biomass Unit;DCW [g/L];FJ;;
4;Biomass           ;620;620;MIM - Aureo - 2;1;50;1;0;100;SET CO2 [%];0;Phi,max;11,11;;;FACTOR;0;
;;;;;;;;;;SET SHAKER FREQUENCY [rpm];1000;pH0;6,16;;;S0;NaN;
;;;;;;;;;;SET CYCLE TIME [min];10;dpH;0,53;;;EXTRA INFO;;
;;;;;;;;;;SET EXP TIME [h];1193;Temp. Compensation for pH Calibration;False;Temp. pH [C];28;;;
;;;;;;;;;;;;Temp. Compensation for pO2 Calibration;False;Temp. pO2 [C];28;;;

WELL No.;CONTENT;DESCRIPTION;CHANNEL;
;;;READING ->;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150
;;;TIME [h] ->;0,03203;0,1841;0,35087;0,51763;0,68413;0,85118;1,01758;1,18436;1,351;1,51778;1,6844;1,85095;2,01751;2,18447;2,35114;2,5181;2,68461;2,85143;3,018;3,18469;3,35125;3,51827;3,68503;3,85153;4,01824;4,18468;4,35169;4,51816;4,68512;4,85179;5,01846;5,18539;5,35167;5,51844;5,68541;5,85178;6,01848;6,18517;6,35233;6,51861;6,68556;6,85191;7,01874;7,18537;7,35216;7,51891;7,6854;7,85214;8,01915;8,18547;8,35259;8,5193;8,68595;8,85243;9,01916;9,18597;9,35272;9,51912;9,68592;9,85263;10,01908;10,18608;10,35268;10,51951;10,68622;10,85271;11,0197;11,18613;11,3528;11,51967;11,68638;11,85315;12,01975;12,18669;12,35302;12,51984;12,68649;12,85317;13,01998;13,18705;13,3532;13,52005;13,68691;13,85336;14,02004;14,18674;14,35338;14,52056;14,68683;14,85388;15,02063;15,18687;15,35351;15,52061;15,6872;15,8538;16,02035;16,18745;16,35372;16,52064;16,68751;16,85462;17,02064;17,18766;17,35395;17,5209;17,68728;17,85416;18,02097;18,18763;18,35422;18,52116;18,68789;18,85413;19,02092;19,18777;19,35475;19,52136;19,68784;19,85476;20,02142;20,18792;20,35463;20,52165;20,68817;20,85485;21,02146;21,1882;21,35484;21,52166;21,68831;21,85483;22,02154;22,18839;22,35502;22,52158;22,68866;22,85512;23,02174;23,18881;23,35539;23,52217;23,68873;23,85531;24,02239;24,18901;24,35553;24,52223;24,68912;24,85543
C03;B1;;1;39,772;24,371;27,623;30,636;31,713;32,711;34,305;36,162;38,072;39,173;40,791;41,312;41,603;42,211;42,878;43,131;43,634;43,12;43,269;44,2;43,908;44,575;44,626;44,234;44,568;45,076;44,55;44,527;44,371;44,276;44,232;43,424;43,976;43,728;43,805;41,899;43,737;41,487;41,845;42,638;41,902;41,449;40,687;41,307;40,266;39,897;41,238;39,539;39,497;38,977;39,323;38,45;37,239;38,153;37,27;37,589;37,142;35,785;34,847;35,638;35,262;34,729;33,771;34,278;33,916;31,218;29,958;30,107;30,228;32,578;30,601;29,318;30,676;29,043;29,418;27,659;29,449;29,3;28,805;25,456;23,975;25,656;21,151;24,614;20,551;21,379;23,416;22,863;20,177;19,782;18,222;17,324;17,777;17,562;16,521;16,654;15,4;17,034;14,887;14,576;14,122;15,291;13,748;13,085;13,081;13,513;12,601;12,45;12,349;12,172;12,158;12,369;12,069;12,062;12,043;12,011;12,022;12,044;12,073;12,142;12,027;12,042;12,054;12,115;12,098;12,094;12,094;12,163;12,203;12,248;12,168;12,254;12,315;12,291;12,433;13,067;16,117;19,102;20,805;20,961;21,051;20,996;20,34;19,966;19,613;19,232;19,088;18,805;18,508;18,457
C04;B1;;1;33,893;50,019;48,397;48,142;47,678;47,926;47,097;46,682;46,13;45,02;43,883;43,769;41,972;42,934;43,574;42,2;41,376;41,681;41,275;40,949;38,995;39,729;38,202;37,278;37,024;36,38;37,282;35,513;34,447;33,625;33,83;32,63;33,181;32,748;31,894;30,833;29,673;29,755;28,668;28,052;29,014;28,504;26,637;26,207;25,211;25,602;26,764;24,198;23,885;23,066;23,024;22,993;21,425;21,935;21,602;20,7;22,067;20,21;19,959;20,073;19,223;19,248;18,257;18,374;19,788;18,601;18,264;18,044;18,623;18,541;17,493;17,089;17,16;16,758;16,262;16,4;16,209;16,023;15,215;15,296;14,146;13,631;14,617;14,229;13,515;13,848;12,868;13,473;12,742;12,732;12,786;11,288;11,2;10,823;10,981;10,967;10,992;10,71;10,709;10,715;10,783;10,744;10,862;11,017;11,419;11,88;12,554;13,111;13,077;13,543;14,166;15,482;17,013;18,851;20,358;21,867;23,188;24,366;24,002;24,556;24,192;24,007;24,05;23,298;22,766;22,35;21,585;22,088;21,557;21,515;20,756;20,354;20,31;19,826;19,401;19,314;19,329;19,218;19,4;18,925;19,146;18,802;18,319;18,442;18,209;17,854;17,646;16,946;16,6;16,454
C05;B1;;1;25,934;27,977;31,374;33,001;34,592;35,351;36,588;37,754;38,534;39,947;39,877;40,664;41,21;41,065;41,756;42,805;41,698;42,288;43,136;42,798;43,047;43,776;44,288;43,864;44,191;44,346;44,081;45,05;44,625;44,58;45,16;44,105;45,302;45,491;45,241;44,715;45,222;44,31;45,293;45,971;45,653;45,073;44,218;44,937;46,337;45,887;45,569;45,96;46,074;46,293;45,293;44,993;44,384;44,841;45,189;44,715;42,213;42,086;42,844;42,276;42,091;41,816;39,684;40,452;41,302;41,146;40,379;40,648;40,419;38,187;37,877;39,73;38,309;38,932;36,226;36,838;37,152;38,046;36,337;35,545;35,973;34,172;33,995;33,752;33,266;32,823;33,686;30,34;32,515;32,294;31,66;30,518;28,285;29,792;27,766;27,432;27,775;28,186;28,22;26,736;23,684;23,481;24,27;20,914;21,158;22,091;21,041;20,305;19,747;19,423;20,483;19,121;18,923;18,938;17,956;17,681;18,034;16,837;16,797;16,617;16,361;15,177;15,379;16,059;15,159;14,94;14,735;14,419;14,09;13,51;13,827;13,949;13,108;13,037;13,102;12,815;13,099;12,336;12,358;12,259;12,216;12,097;12,153;11,983;11,937;11,934;11,906;11,929;11,882;12,039
C06;X1;;1;9,34;9,359;9,427;9,424;9,448;9,481;9,459;9,441;9,442;9,45;9,466;9,46;9,476;9,511;9,541;9,54;9,534;9,56;9,569;9,57;9,598;9,603;9,65;9,642;9,669;9,695;9,655;9,699;9,709;9,772;9,767;9,795;9,814;9,876;9,865;9,913;9,939;9,964;10,017;10,059;10,14;10,2;10,234;10,298;10,338;10,397;10,443;10,541;10,585;10,659;10,821;10,848;10,946;11,045;11,169;11,294;11,383;11,516;11,667;11,791;11,952;12,05;12,2;12,386;12,388;12,432;12,416;12,499;12,605;12,761;12,886;13,059;13,167;13,368;13,507;13,688;13,881;14,117;14,341;14,499;14,711;14,925;15,14;15,36;15,671;15,88;16,106;16,123;16,166;16,539;16,823;17,213;17,412;17,771;18,179;18,608;19,252;21,534;22,669;23,686;24,803;25,675;26,604;27,754;28,335;29,397;30,005;30,978;32,475;33,459;34,378;35,379;36,419;37,544;38,742;40,066;41,436;42,671;44,197;45,36;46,782;48,506;49,968;50,651;49,892;48,616;46,932;47,49;46,397;45,529;46,28;46,096;46,202;45,291;45,619;46,313;45,507;45,713;46,664;45,304;46,173;46,646;46,582;45,672;47,205;46,22;47,257;46,605;46,817;48,008
C07;X1;;1;10,082;10,253;10,164;10,175;10,177;10,138;10,085;10,11;10,199;10,179;10,183;10,185;10,13;10,168;10,15;10,233;10,231;10,294;10,233;10,223;10,23;10,3;10,31;10,301;10,332;10,432;10,322;10,398;10,436;10,397;10,426;10,48;10,509;10,525;10,52;10,59;10,65;10,689;10,662;10,707;10,823;10,795;10,892;10,899;10,97;11,099;11,073;11,213;11,3;11,356;11,406;11,427;11,568;11,566;11,524;11,662;11,612;11,662;11,678;11,901;11,945;12,037;12,169;12,224;12,36;12,449;12,566;12,65;12,814;12,963;13,125;13,322;13,495;13,736;13,818;14,076;14,314;14,541;14,792;15,03;15,341;15,483;15,787;16,098;16,308;16,506;16,675;16,827;16,914;17,27;17,587;17,77;17,925;18,132;18,398;18,659;19,083;19,438;19,916;20,343;21,043;21,384;22,37;24,348;25,817;26,821;28,231;29,24;30,372;30,962;31,732;32,939;34,315;36,522;37,547;38,525;39,73;40,735;42,05;43,127;44,705;46,627;47,472;47,339;47,599;47,261;46,851;46,388;45,793;45,214;44,778;43,67;43,05;43,39;43,523;43,075;42,724;41,887;43,172;42,706;42,144;43,541;43,024;44,311;44,669;45,343;45,948;46,67;47,188;47,752
C08;X1;;1;10,236;10,33;10,367;10,431;10,443;10,451;10,506;10,555;10,555;10,589;10,626;10,64;10,666;10,765;10,769;10,8;10,844;10,863;10,875;10,912;10,944;10,971;11,017;11,054;11,118;11,102;11,143;11,161;11,205;11,286;11,284;11,327;11,419;11,48;11,506;11,553;11,611;11,647;11,726;11,845;11,921;11,945;12,01;12,1;12,165;12,289;12,332;12,432;12,505;12,554;12,639;12,762;12,775;12,846;12,925;13,023;13,051;13,15;13,148;13,217;13,347;13,411;13,464;13,56;13,682;13,864;13,939;14,124;14,227;14,269;14,378;14,466;14,581;14,675;14,804;14,99;15,067;15,34;15,396;15,613;15,801;15,965;16,249;16,492;16,721;17,001;17,112;17,216;17,351;17,737;18,06;18,334;18,607;18,932;19,225;19,587;20,105;20,682;21,323;22,12;24,264;25,49;26,93;28,165;29,024;29,978;31,096;32,795;34,83;35,035;35,665;36,725;37,749;39,366;40,606;41,747;42,991;44,081;45,64;47,08;49,19;51,276;51,617;51,185;50,842;49,831;49,152;47,967;48,144;46,955;47,367;45,676;46,208;46,013;45,035;45,107;46,219;46,554;45,852;45,989;47,297;47,298;46,753;46,865;47,935;48,218;48,344;48,561;48,677;48,81
C09;X1;;1;9,726;9,84;9,875;9,883;9,964;9,991;10,004;10,066;10,106;10,087;10,138;10,15;10,196;10,248;10,29;10,303;10,311;10,378;10,373;10,441;10,494;10,56;10,539;10,582;10,593;10,623;10,646;10,709;10,778;10,841;10,832;10,907;10,957;11,047;11,009;11,098;11,139;11,221;11,31;11,345;11,53;11,513;11,557;11,693;11,762;11,896;11,962;12,106;12,163;12,174;12,238;12,257;12,166;12,187;12,202;12,217;12,278;12,306;12,276;12,226;12,28;12,351;12,414;12,483;12,576;12,672;12,744;12,873;12,978;13,096;13,207;13,335;13,478;13,61;13,797;13,899;14,072;14,326;14,46;14,594;14,81;14,976;15,29;15,561;15,826;16,012;16,37;16,424;16,478;16,871;17,195;17,551;17,956;18,321;18,739;19,027;19,454;20,213;21,488;22,541;23,977;25,086;26,604;27,754;28,547;29,81;31,287;32,785;33,988;34,569;35,303;36,276;37,377;38,314;39,625;40,791;41,938;43,22;44,362;45,658;47,057;48,913;50,558;51,04;50,791;50,066;49,274;48,193;47,393;47,269;45,664;45,559;45,771;45,877;44,448;45,451;44,55;45,839;46,122;44,837;45,382;46,602;45,618;45,678;46,844;47,09;46,265;47,697;47,795;47,984
C10;X1;;1;9,148;9,257;9,312;9,324;9,37;9,408;9,408;9,431;9,459;9,484;9,529;9,55;9,577;9,605;9,678;9,666;9,709;9,725;9,766;9,784;9,819;9,902;9,927;9,903;9,965;9,998;10,029;10,108;10,097;10,125;10,179;10,208;10,29;10,348;10,375;10,435;10,488;10,503;10,588;10,718;10,781;10,802;10,92;10,962;11,071;11,19;11,223;11,336;11,381;11,415;11,538;11,549;11,547;11,604;11,594;11,61;11,65;11,679;11,716;11,791;11,821;11,933;11,986;12,142;12,209;12,339;12,364;12,465;12,543;12,61;12,688;12,823;12,931;13,013;13,23;13,323;13,437;13,615;13,808;14,002;14,194;14,375;14,593;14,881;15,094;15,341;15,578;15,578;15,906;16,266;16,664;16,983;17,379;17,64;17,996;18,426;18,942;19,448;20,024;20,686;22,658;23,625;24,523;25,525;26,079;26,723;27,758;29,012;30,714;31,689;32,721;34,01;35,256;36,301;37,45;38,582;39,686;40,788;42,151;43,262;44,487;46,287;47,88;48,33;47,649;48,086;47,395;46,241;45,66;45,624;45,124;44,217;43,235;43,06;42,581;42,459;41,982;41,137;42,435;42,099;41,609;42,862;42,24;42,504;43,493;44,228;44,673;44,865;45,403;45,838
D03;B2;;1;30,624;31,951;29,139;33,395;38,877;37,441;37,541;38,423;38,825;37,101;38,174;37,943;37,229;39,647;37,211;40,036;38,228;37,865;36,748;37,604;39,108;40,499;40,093;40,034;41,117;40,317;40,169;39,614;40,437;40,02;39,892;36,226;40,336;40,264;40,512;38,5;40,523;38,318;38,83;41,049;39,267;37,015;37,635;40,573;39,067;41,326;39,534;40,785;39,923;39,259;38,919;38,938;39,488;37,521;37,975;38,579;38,719;35,708;35,76;36,795;35,852;35,758;39,701;35,538;34,829;38,308;34,198;34,058;33,634;34,113;33,903;34,069;33,681;33,908;33,371;34,668;33,652;34,204;33,151;33,354;33,815;33,438;33,893;34,316;33,351;33,229;32,849;33,34;33,527;34,158;32,947;33,588;31,967;33,811;33,471;34,584;33,66;33,697;36,099;33,879;33,977;33,912;34,447;33,475;34,052;34,489;34,549;34,13;34,129;34,358;34,381;32,909;35,705;35,279;35,757;35,713;36,472;35,265;35,187;34,898;35,86;35,389;36,916;37,485;36,258;34,685;35,702;36,053;33,992;36,372;34,474;31,946;34,218;34,727;33,572;30,983;35,797;36,003;31,53;32,391;30,708;32,775;30,043;31,489;31,604;33,018;29,641;30,503;30,06;33,98
