FILENAME;\Hard Disk2\Result\strain_A.csv
PROTOCOL;synthetic_test
FILE_VERSION;3.3;
DATE START;2026-09-01;08:00:00
DATE END;2026-09-02;04:00:00;;Last Reading;120;Timestamp;0
DEVICE;BL000-SYNTH
USER;test;COMMENT;synthetic data, not a real experiment
PLATETYPE;MTP-96-Round;LOT;UNKOWN
MTP ROWS;8
MTP COLUMNS;12
FILTERSETS;1;REFERENCE_MODE;2;MULTI_PMT;0;

FILTERSET;FILTERNAME;EX [nm];EM [nm];LAYOUT;FILTERNR;GAIN;PHASESTATISTICSSIGMA;SIGNALQUALITYTOLERANCE;REFERENCE VALUE;EM2 [nm];GAIN2;PROCESS PARAMETER
 1;Biomass;620;620;96MTP;1;20;1.00;100.00;179.00;;;SET TEMPERATURE [°C];30.00
;;;;;;;;;;;;SET HUMIDITY [rH];85.00
;;;;;;;;;;;;SET O2 [%];20.95
;;;;;;;;;;;;SET CO2 [%];0.00
;;;;;;;;;;;;SET SHAKER FREQUENCY [rpm];1000.00
;;;;;;;;;;;;SET CYCLE TIME [min];10
;;;;;;;;;;;;SET EXP TIME [h];0

READING;WELLNUM;CONTENT;DESCRIPTION;FILTERSET;TIME [h];AMPLITUDE;PHASE;ACT TEMP [°C];ACT HUMIDITY [rH];ACT O2 [%];ACT CO2 [%];COMMENTS;TEMP CHAMBER;TEMP TABLE;TEMP BOTTLE
K;;;;;0.00465;;;;;;;Close Cover, Open Cover, ;
R;;;;1;0.00000;180.80;0.0;30.00;85.00;20.95;0.00;test measure for referencing ;30.0;30.0;30.0
C1;A01;X1;;1;0.00595;10.62;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C1;A02;X1;;1;0.01190;11.08;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C1;A03;X1;;1;0.01786;11.38;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C1;A04;X1;;1;0.02381;10.57;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C1;A05;X1;;1;0.02976;11.76;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C1;A06;X2;;1;0.03571;10.84;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C1;A07;X2;;1;0.04167;11.00;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C1;A08;X2;;1;0.04762;10.50;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C1;A09;X2;;1;0.05357;10.63;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C1;A10;X2;;1;0.05952;11.33;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C1;A11;X3;;1;0.06548;10.66;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C1;A12;X3;;1;0.07143;10.88;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C1;B01;X3;;1;0.07738;9.99;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C1;B02;X3;;1;0.08333;9.88;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C1;B03;X3;;1;0.08929;10.30;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C1;B04;X4;;1;0.09524;11.28;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C1;B05;X4;;1;0.10119;10.63;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C1;B06;X4;;1;0.10714;10.65;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C1;B07;X4;;1;0.11310;10.62;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C1;B08;X4;;1;0.11905;10.59;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C1;B09;B1;;1;0.12500;8.04;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C1;B10;B1;;1;0.13095;8.12;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C1;B11;B1;;1;0.13690;8.09;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
R;;;;1;0.16667;178.09;0.0;30.00;85.00;20.95;0.00;test measure for referencing ;30.0;30.0;30.0
C2;A01;X1;;1;0.17262;11.45;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C2;A02;X1;;1;0.17857;11.75;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C2;A03;X1;;1;0.18452;11.36;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C2;A04;X1;;1;0.19048;10.29;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C2;A05;X1;;1;0.19643;11.74;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C2;A06;X2;;1;0.20238;10.47;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C2;A07;X2;;1;0.20833;10.47;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C2;A08;X2;;1;0.21429;10.35;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C2;A09;X2;;1;0.22024;10.86;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C2;A10;X2;;1;0.22619;10.55;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C2;A11;X3;;1;0.23214;9.93;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C2;A12;X3;;1;0.23810;10.42;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C2;B01;X3;;1;0.24405;10.01;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C2;B02;X3;;1;0.25000;10.31;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C2;B03;X3;;1;0.25595;9.80;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C2;B04;X4;;1;0.26190;10.75;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C2;B05;X4;;1;0.26786;10.90;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C2;B06;X4;;1;0.27381;10.56;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C2;B07;X4;;1;0.27976;10.55;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C2;B08;X4;;1;0.28571;10.94;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C2;B09;B1;;1;0.29167;7.30;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
