FILENAME;\Hard Disk2\Result\strain_B.csv
PROTOCOL;synthetic_test
FILE_VERSION;3.3;
DATE START;2026-09-01;08:00:00
DATE END;2026-09-02;04:00:00;;Last Reading;120;Timestamp;0
DEVICE;BL000-SYNTH
USER;test;COMMENT;synthetic data, not a real experiment
PLATETYPE;MTP-96-Round;LOT;UNKOWN
MTP ROWS;8
MTP COLUMNS;12
FILTERSETS;1;REFERENCE_MODE;2;MULTI_PMT;0;

FILTERSET;FILTERNAME;EX [nm];EM [nm];LAYOUT;FILTERNR;GAIN;PHASESTATISTICSSIGMA;SIGNALQUALITYTOLERANCE;REFERENCE VALUE;EM2 [nm];GAIN2;PROCESS PARAMETER
 1;Biomass;620;620;96MTP;1;20;1.00;100.00;179.00;;;SET TEMPERATURE [°C];30.00
;;;;;;;;;;;;SET HUMIDITY [rH];85.00
;;;;;;;;;;;;SET O2 [%];20.95
;;;;;;;;;;;;SET CO2 [%];0.00
;;;;;;;;;;;;SET SHAKER FREQUENCY [rpm];1000.00
;;;;;;;;;;;;SET CYCLE TIME [min];10
;;;;;;;;;;;;SET EXP TIME [h];0

READING;WELLNUM;CONTENT;DESCRIPTION;FILTERSET;TIME [h];AMPLITUDE;PHASE;ACT TEMP [°C];ACT HUMIDITY [rH];ACT O2 [%];ACT CO2 [%];COMMENTS;TEMP CHAMBER;TEMP TABLE;TEMP BOTTLE
K;;;;;0.00465;;;;;;;Close Cover, Open Cover, ;
R;;;;1;0.00000;179.73;0.0;30.00;85.00;20.95;0.00;test measure for referencing ;30.0;30.0;30.0
C1;A01;X1;;1;0.00595;10.88;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C1;A02;X1;;1;0.01190;11.10;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C1;A03;X1;;1;0.01786;11.54;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C1;A04;X1;;1;0.02381;9.52;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C1;A05;X1;;1;0.02976;11.38;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C1;A06;X2;;1;0.03571;10.50;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C1;A07;X2;;1;0.04167;10.59;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C1;A08;X2;;1;0.04762;10.84;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C1;A09;X2;;1;0.05357;10.92;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C1;A10;X2;;1;0.05952;10.46;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C1;A11;X3;;1;0.06548;10.82;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C1;A12;X3;;1;0.07143;10.31;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C1;B01;X3;;1;0.07738;10.16;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C1;B02;X3;;1;0.08333;10.28;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C1;B03;X3;;1;0.08929;10.20;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C1;B04;X4;;1;0.09524;10.66;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C1;B05;X4;;1;0.10119;11.14;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C1;B06;X4;;1;0.10714;11.11;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C1;B07;X4;;1;0.11310;10.66;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C1;B08;X4;;1;0.11905;10.12;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C1;B09;B1;;1;0.12500;7.81;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C1;B10;B1;;1;0.13095;8.42;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C1;B11;B1;;1;0.13690;7.94;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
R;;;;1;0.16667;181.37;0.0;30.00;85.00;20.95;0.00;test measure for referencing ;30.0;30.0;30.0
C2;A01;X1;;1;0.17262;10.72;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C2;A02;X1;;1;0.17857;11.31;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C2;A03;X1;;1;0.18452;11.33;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C2;A04;X1;;1;0.19048;9.68;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C2;A05;X1;;1;0.19643;12.05;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C2;A06;X2;;1;0.20238;11.43;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C2;A07;X2;;1;0.20833;10.46;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C2;A08;X2;;1;0.21429;11.20;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C2;A09;X2;;1;0.22024;11.41;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C2;A10;X2;;1;0.22619;10.42;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C2;A11;X3;;1;0.23214;10.77;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C2;A12;X3;;1;0.23810;10.08;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C2;B01;X3;;1;0.24405;10.50;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C2;B02;X3;;1;0.25000;10.05;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C2;B03;X3;;1;0.25595;10.58;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C2;B04;X4;;1;0.26190;10.86;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C2;B05;X4;;1;0.26786;11.37;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C2;B06;X4;;1;0.27381;10.34;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C2;B07;X4;;1;0.27976;10.52;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C2;B08;X4;;1;0.28571;9.80;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C2;B09;B1;;1;0.29167;8.59;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C2;B10;B1;;1;0.29762;8.14;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C2;B11;B1;;1;0.30357;8.72;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
R;;;;1;0.33333;178.98;0.0;30.00;85.00;20.95;0.00;test measure for referencing ;30.0;30.0;30.0
C3;A01;X1;;1;0.33929;10.91;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C3;A02;X1;;1;0.34524;10.97;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C3;A03;X1;;1;0.35119;10.85;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C3;A04;X1;;1;0.35714;9.60;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C3;A05;X1;;1;0.36310;11.58;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C3;A06;X2;;1;0.36905;11.44;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C3;A07;X2;;1;0.37500;10.40;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C3;A08;X2;;1;0.38095;10.88;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C3;A09;X2;;1;0.38690;10.47;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C3;A10;X2;;1;0.39286;10.00;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C3;A11;X3;;1;0.39881;10.98;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C3;A12;X3;;1;0.40476;10.15;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C3;B01;X3;;1;0.41071;9.94;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C3;B02;X3;;1;0.41667;9.94;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C3;B03;X3;;1;0.42262;10.22;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C3;B04;X4;;1;0.42857;10.80;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C3;B05;X4;;1;0.43452;11.36;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C3;B06;X4;;1;0.44048;10.28;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C3;B07;X4;;1;0.44643;11.27;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C3;B08;X4;;1;0.45238;10.20;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C3;B09;B1;;1;0.45833;8.06;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C3;B10;B1;;1;0.46429;7.66;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C3;B11;B1;;1;0.47024;7.91;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
R;;;;1;0.50000;179.08;0.0;30.00;85.00;20.95;0.00;test measure for referencing ;30.0;30.0;30.0
C4;A01;X1;;1;0.50595;11.01;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C4;A02;X1;;1;0.51190;10.62;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C4;A03;X1;;1;0.51786;10.67;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C4;A04;X1;;1;0.52381;9.73;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C4;A05;X1;;1;0.52976;11.38;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C4;A06;X2;;1;0.53571;10.84;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C4;A07;X2;;1;0.54167;10.42;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C4;A08;X2;;1;0.54762;11.04;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C4;A09;X2;;1;0.55357;10.75;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C4;A10;X2;;1;0.55952;10.95;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C4;A11;X3;;1;0.56548;10.81;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C4;A12;X3;;1;0.57143;10.05;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C4;B01;X3;;1;0.57738;10.74;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C4;B02;X3;;1;0.58333;9.67;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C4;B03;X3;;1;0.58929;10.79;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C4;B04;X4;;1;0.59524;10.46;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C4;B05;X4;;1;0.60119;11.14;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C4;B06;X4;;1;0.60714;9.94;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C4;B07;X4;;1;0.61310;11.12;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C4;B08;X4;;1;0.61905;10.36;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C4;B09;B1;;1;0.62500;7.62;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C4;B10;B1;;1;0.63095;8.68;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C4;B11;B1;;1;0.63690;8.31;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
R;;;;1;0.66667;179.08;0.0;30.00;85.00;20.95;0.00;test measure for referencing ;30.0;30.0;30.0
C5;A01;X1;;1;0.67262;10.92;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C5;A02;X1;;1;0.67857;10.81;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C5;A03;X1;;1;0.68452;10.83;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C5;A04;X1;;1;0.69048;10.20;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C5;A05;X1;;1;0.69643;12.09;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C5;A06;X2;;1;0.70238;10.72;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C5;A07;X2;;1;0.70833;10.14;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C5;A08;X2;;1;0.71429;10.60;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C5;A09;X2;;1;0.72024;10.15;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C5;A10;X2;;1;0.72619;10.03;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C5;A11;X3;;1;0.73214;10.69;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C5;A12;X3;;1;0.73810;10.39;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C5;B01;X3;;1;0.74405;10.57;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C5;B02;X3;;1;0.75000;9.74;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C5;B03;X3;;1;0.75595;10.67;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C5;B04;X4;;1;0.76190;10.62;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C5;B05;X4;;1;0.76786;11.65;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C5;B06;X4;;1;0.77381;10.52;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C5;B07;X4;;1;0.77976;11.00;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C5;B08;X4;;1;0.78571;10.13;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C5;B09;B1;;1;0.79167;7.68;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C5;B10;B1;;1;0.79762;8.08;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C5;B11;B1;;1;0.80357;7.85;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
R;;;;1;0.83333;179.63;0.0;30.00;85.00;20.95;0.00;test measure for referencing ;30.0;30.0;30.0
C6;A01;X1;;1;0.83929;10.71;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C6;A02;X1;;1;0.84524;11.06;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C6;A03;X1;;1;0.85119;10.64;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C6;A04;X1;;1;0.85714;10.53;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C6;A05;X1;;1;0.86310;11.80;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C6;A06;X2;;1;0.86905;11.28;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C6;A07;X2;;1;0.87500;9.91;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C6;A08;X2;;1;0.88095;10.92;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C6;A09;X2;;1;0.88690;10.32;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C6;A10;X2;;1;0.89286;10.09;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C6;A11;X3;;1;0.89881;10.76;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C6;A12;X3;;1;0.90476;10.12;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C6;B01;X3;;1;0.91071;10.29;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C6;B02;X3;;1;0.91667;10.24;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C6;B03;X3;;1;0.92262;10.73;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C6;B04;X4;;1;0.92857;10.76;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C6;B05;X4;;1;0.93452;10.65;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C6;B06;X4;;1;0.94048;10.32;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C6;B07;X4;;1;0.94643;10.82;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C6;B08;X4;;1;0.95238;9.80;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C6;B09;B1;;1;0.95833;8.33;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C6;B10;B1;;1;0.96429;7.93;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C6;B11;B1;;1;0.97024;7.93;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
R;;;;1;1.00000;180.70;0.0;30.00;85.00;20.95;0.00;test measure for referencing ;30.0;30.0;30.0
C7;A01;X1;;1;1.00595;11.45;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C7;A02;X1;;1;1.01190;10.99;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C7;A03;X1;;1;1.01786;10.67;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C7;A04;X1;;1;1.02381;10.16;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C7;A05;X1;;1;1.02976;12.07;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C7;A06;X2;;1;1.03571;10.75;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C7;A07;X2;;1;1.04167;10.71;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C7;A08;X2;;1;1.04762;11.01;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C7;A09;X2;;1;1.05357;10.06;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C7;A10;X2;;1;1.05952;10.34;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C7;A11;X3;;1;1.06548;10.43;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C7;A12;X3;;1;1.07143;10.62;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
