FILENAME;\Hard Disk2\Result\strain_C.csv
PROTOCOL;synthetic_test
FILE_VERSION;3.3;
DATE START;2026-09-01;08:00:00
DATE END;2026-09-02;04:00:00;;Last Reading;120;Timestamp;0
DEVICE;BL000-SYNTH
USER;test;COMMENT;synthetic data, not a real experiment
PLATETYPE;MTP-96-Round;LOT;UNKOWN
MTP ROWS;8
MTP COLUMNS;12
FILTERSETS;1;REFERENCE_MODE;2;MULTI_PMT;0;

FILTERSET;FILTERNAME;EX [nm];EM [nm];LAYOUT;FILTERNR;GAIN;PHASESTATISTICSSIGMA;SIGNALQUALITYTOLERANCE;REFERENCE VALUE;EM2 [nm];GAIN2;PROCESS PARAMETER
 1;Biomass;620;620;96MTP;1;20;1.00;100.00;179.00;;;SET TEMPERATURE [°C];30.00
;;;;;;;;;;;;SET HUMIDITY [rH];85.00
;;;;;;;;;;;;SET O2 [%];20.95
;;;;;;;;;;;;SET CO2 [%];0.00
;;;;;;;;;;;;SET SHAKER FREQUENCY [rpm];1000.00
;;;;;;;;;;;;SET CYCLE TIME [min];10
;;;;;;;;;;;;SET EXP TIME [h];0

READING;WELLNUM;CONTENT;DESCRIPTION;FILTERSET;TIME [h];AMPLITUDE;PHASE;ACT TEMP [°C];ACT HUMIDITY [rH];ACT O2 [%];ACT CO2 [%];COMMENTS;TEMP CHAMBER;TEMP TABLE;TEMP BOTTLE
K;;;;;0.00465;;;;;;;Close Cover, Open Cover, ;
R;;;;1;0.00000;178.10;0.0;30.00;85.00;20.95;0.00;test measure for referencing ;30.0;30.0;30.0
C1;A01;X1;;1;0.00595;12.09;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C1;A02;X1;;1;0.01190;10.25;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C1;A03;X1;;1;0.01786;12.00;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C1;A04;X1;;1;0.02381;10.90;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C1;A05;X1;;1;0.02976;10.96;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C1;A06;X2;;1;0.03571;10.69;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C1;A07;X2;;1;0.04167;9.37;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C1;A08;X2;;1;0.04762;10.30;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C1;A09;X2;;1;0.05357;10.38;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C1;A10;X2;;1;0.05952;12.05;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C1;A11;X3;;1;0.06548;10.45;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C1;A12;X3;;1;0.07143;10.38;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C1;B01;X3;;1;0.07738;9.37;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C1;B02;X3;;1;0.08333;10.36;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C1;B03;X3;;1;0.08929;9.61;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C1;B04;X4;;1;0.09524;10.24;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C1;B05;X4;;1;0.10119;11.20;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C1;B06;X4;;1;0.10714;11.02;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C1;B07;X4;;1;0.11310;11.20;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C1;B08;X4;;1;0.11905;10.50;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C1;B09;B1;;1;0.12500;7.97;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C1;B10;B1;;1;0.13095;7.94;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C1;B11;B1;;1;0.13690;8.52;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
R;;;;1;0.16667;180.34;0.0;30.00;85.00;20.95;0.00;test measure for referencing ;30.0;30.0;30.0
C2;A01;X1;;1;0.17262;12.36;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C2;A02;X1;;1;0.17857;10.55;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C2;A03;X1;;1;0.18452;11.50;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C2;A04;X1;;1;0.19048;10.84;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C2;A05;X1;;1;0.19643;11.34;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C2;A06;X2;;1;0.20238;10.70;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C2;A07;X2;;1;0.20833;9.69;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C2;A08;X2;;1;0.21429;10.28;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C2;A09;X2;;1;0.22024;10.31;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C2;A10;X2;;1;0.22619;11.27;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C2;A11;X3;;1;0.23214;10.76;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C2;A12;X3;;1;0.23810;10.46;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C2;B01;X3;;1;0.24405;9.85;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C2;B02;X3;;1;0.25000;10.20;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C2;B03;X3;;1;0.25595;9.73;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C2;B04;X4;;1;0.26190;11.10;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C2;B05;X4;;1;0.26786;10.65;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C2;B06;X4;;1;0.27381;10.67;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C2;B07;X4;;1;0.27976;11.69;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C2;B08;X4;;1;0.28571;11.31;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C2;B09;B1;;1;0.29167;7.19;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C2;B10;B1;;1;0.29762;7.86;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C2;B11;B1;;1;0.30357;8.19;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
R;;;;1;0.33333;177.91;0.0;30.00;85.00;20.95;0.00;test measure for referencing ;30.0;30.0;30.0
C3;A01;X1;;1;0.33929;12.61;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C3;A02;X1;;1;0.34524;9.72;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C3;A03;X1;;1;0.35119;11.51;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C3;A04;X1;;1;0.35714;10.65;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C3;A05;X1;;1;0.36310;11.44;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C3;A06;X2;;1;0.36905;10.37;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C3;A07;X2;;1;0.37500;9.51;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C3;A08;X2;;1;0.38095;9.86;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C3;A09;X2;;1;0.38690;10.61;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C3;A10;X2;;1;0.39286;12.09;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C3;A11;X3;;1;0.39881;10.64;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C3;A12;X3;;1;0.40476;10.51;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C3;B01;X3;;1;0.41071;10.31;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C3;B02;X3;;1;0.41667;9.85;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C3;B03;X3;;1;0.42262;9.64;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C3;B04;X4;;1;0.42857;10.49;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C3;B05;X4;;1;0.43452;11.52;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C3;B06;X4;;1;0.44048;10.36;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C3;B07;X4;;1;0.44643;11.14;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C3;B08;X4;;1;0.45238;10.72;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C3;B09;B1;;1;0.45833;8.04;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C3;B10;B1;;1;0.46429;8.18;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C3;B11;B1;;1;0.47024;7.45;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
R;;;;1;0.50000;175.90;0.0;30.00;85.00;20.95;0.00;test measure for referencing ;30.0;30.0;30.0
C4;A01;X1;;1;0.50595;12.00;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C4;A02;X1;;1;0.51190;10.32;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C4;A03;X1;;1;0.51786;11.50;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C4;A04;X1;;1;0.52381;10.91;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C4;A05;X1;;1;0.52976;10.80;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C4;A06;X2;;1;0.53571;10.35;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C4;A07;X2;;1;0.54167;9.44;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C4;A08;X2;;1;0.54762;10.50;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C4;A09;X2;;1;0.55357;9.76;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C4;A10;X2;;1;0.55952;11.77;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C4;A11;X3;;1;0.56548;10.26;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C4;A12;X3;;1;0.57143;10.22;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C4;B01;X3;;1;0.57738;10.15;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C4;B02;X3;;1;0.58333;10.68;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C4;B03;X3;;1;0.58929;10.21;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C4;B04;X4;;1;0.59524;11.05;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C4;B05;X4;;1;0.60119;10.38;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C4;B06;X4;;1;0.60714;10.57;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C4;B07;X4;;1;0.61310;11.01;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C4;B08;X4;;1;0.61905;10.85;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C4;B09;B1;;1;0.62500;6.97;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C4;B10;B1;;1;0.63095;8.32;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C4;B11;B1;;1;0.63690;8.28;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
R;;;;1;0.66667;176.67;0.0;30.00;85.00;20.95;0.00;test measure for referencing ;30.0;30.0;30.0
C5;A01;X1;;1;0.67262;11.76;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C5;A02;X1;;1;0.67857;9.77;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C5;A03;X1;;1;0.68452;11.34;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C5;A04;X1;;1;0.69048;11.08;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C5;A05;X1;;1;0.69643;11.55;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C5;A06;X2;;1;0.70238;10.25;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C5;A07;X2;;1;0.70833;9.78;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C5;A08;X2;;1;0.71429;10.35;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C5;A09;X2;;1;0.72024;10.56;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C5;A10;X2;;1;0.72619;12.00;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C5;A11;X3;;1;0.73214;10.74;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C5;A12;X3;;1;0.73810;9.78;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C5;B01;X3;;1;0.74405;10.07;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C5;B02;X3;;1;0.75000;9.73;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C5;B03;X3;;1;0.75595;10.26;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C5;B04;X4;;1;0.76190;10.85;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C5;B05;X4;;1;0.76786;10.94;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C5;B06;X4;;1;0.77381;10.59;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C5;B07;X4;;1;0.77976;11.38;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C5;B08;X4;;1;0.78571;10.53;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C5;B09;B1;;1;0.79167;7.53;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C5;B10;B1;;1;0.79762;8.09;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C5;B11;B1;;1;0.80357;8.87;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
R;;;;1;0.83333;178.56;0.0;30.00;85.00;20.95;0.00;test measure for referencing ;30.0;30.0;30.0
C6;A01;X1;;1;0.83929;12.01;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C6;A02;X1;;1;0.84524;9.76;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C6;A03;X1;;1;0.85119;11.05;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C6;A04;X1;;1;0.85714;11.16;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C6;A05;X1;;1;0.86310;11.31;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C6;A06;X2;;1;0.86905;10.42;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C6;A07;X2;;1;0.87500;9.76;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C6;A08;X2;;1;0.88095;10.44;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C6;A09;X2;;1;0.88690;10.19;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C6;A10;X2;;1;0.89286;11.45;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C6;A11;X3;;1;0.89881;10.31;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C6;A12;X3;;1;0.90476;10.24;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
