FILENAME;\Hard Disk2\Result\strain_D_E.csv
PROTOCOL;synthetic_test
FILE_VERSION;3.3;
DATE START;2026-09-01;08:00:00
DATE END;2026-09-02;04:00:00;;Last Reading;120;Timestamp;0
DEVICE;BL000-SYNTH
USER;test;COMMENT;synthetic data, not a real experiment
PLATETYPE;MTP-96-Round;LOT;UNKOWN
MTP ROWS;8
MTP COLUMNS;12
FILTERSETS;1;REFERENCE_MODE;2;MULTI_PMT;0;

FILTERSET;FILTERNAME;EX [nm];EM [nm];LAYOUT;FILTERNR;GAIN;PHASESTATISTICSSIGMA;SIGNALQUALITYTOLERANCE;REFERENCE VALUE;EM2 [nm];GAIN2;PROCESS PARAMETER
 1;Biomass;620;620;96MTP;1;20;1.00;100.00;179.00;;;SET TEMPERATURE [°C];30.00
;;;;;;;;;;;;SET HUMIDITY [rH];85.00
;;;;;;;;;;;;SET O2 [%];20.95
;;;;;;;;;;;;SET CO2 [%];0.00
;;;;;;;;;;;;SET SHAKER FREQUENCY [rpm];1000.00
;;;;;;;;;;;;SET CYCLE TIME [min];10
;;;;;;;;;;;;SET EXP TIME [h];0

READING;WELLNUM;CONTENT;DESCRIPTION;FILTERSET;TIME [h];AMPLITUDE;PHASE;ACT TEMP [°C];ACT HUMIDITY [rH];ACT O2 [%];ACT CO2 [%];COMMENTS;TEMP CHAMBER;TEMP TABLE;TEMP BOTTLE
K;;;;;0.00465;;;;;;;Close Cover, Open Cover, ;
R;;;;1;0.00000;177.91;0.0;30.00;85.00;20.95;0.00;test measure for referencing ;30.0;30.0;30.0
C1;A01;X1;;1;0.00347;10.23;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C1;A02;X1;;1;0.00694;10.50;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C1;A03;X1;;1;0.01042;11.40;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C1;A04;X1;;1;0.01389;11.00;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C1;A05;X1;;1;0.01736;10.66;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C1;A06;X2;;1;0.02083;10.12;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C1;A07;X2;;1;0.02431;9.93;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C1;A08;X2;;1;0.02778;10.47;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C1;A09;X2;;1;0.03125;9.33;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C1;A10;X2;;1;0.03472;10.26;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
C1;A11;X3;;1;0.03819;10.27;0.0;30.00;85.00;20.95;0.00;;30.0;30.0;30.0
